Date,Country,Cumulative number of case(s),Number of deaths
4/12/03,"Taiwan, China",2,0
4/18/03,"Taiwan, China",2,0
3/31/03,Thailand,2,0
3/21/03,United States,2,0
3/25/03,United States,2,0
4/25/03,United States,2,0
4/26/03,United States,2,0
5/1/03,United States,2,0
5/2/03,United States,2,0
6/3/03,United States,2,0
6/11/03,United States,2,0
6/18/03,United States,2,0
3/27/03,Romania,3,0
3/18/03,Singapore,3,0
3/20/03,Singapore,3,0
3/29/03,Singapore,3,0
4/3/03,Singapore,3,0
4/25/03,Singapore,3,0
3/18/03,"Taiwan, China",3,0
4/1/03,"Taiwan, China",3,0
3/21/03,Thailand,3,0
4/2/03,United States,3,0
4/7/03,Viet Nam,3,0
3/25/03,Singapore,4,0
3/28/03,"Taiwan, China",4,0
4/7/03,"Taiwan, China",4,0
4/16/03,"Taiwan, China",4,0
4/25/03,"Taiwan, China",4,0
6/9/03,"Taiwan, China",4,0
5/6/03,United States,4,0
3/21/03,Singapore,5,0
3/22/03,Singapore,5,0
4/7/03,Singapore,5,0
3/20/03,Switzerland,5,0
6/13/03,"Taiwan, China",5,0
3/27/03,United States,5,0
4/10/03,United States,5,0
6/10/03,"Taiwan, China",6,0
3/28/03,United States,6,0
4/17/03,United States,6,0
3/20/03,Viet Nam,6,0
4/11/03,Singapore,7,0
5/30/03,"Taiwan, China",7,0
4/8/03,United States,7,0
5/5/03,United States,7,0
3/19/03,Singapore,8,0
3/28/03,Singapore,8,0
4/10/03,Singapore,8,0
4/22/03,Singapore,8,0
4/23/03,"Taiwan, China",8,0
4/26/03,"Taiwan, China",8,0
6/2/03,"Taiwan, China",8,0
3/29/03,United States,8,0
4/14/03,United States,8,0
5/31/03,"Taiwan, China",9,0
3/22/03,United States,9,0
4/1/03,United States,10,0
3/19/03,United States,11,0
4/30/03,United States,11,0
4/11/03,United States,12,0
4/3/03,United States,13,0
4/12/03,Singapore,14,0
3/24/03,United States,15,0
4/4/03,United States,15,0
4/5/03,United States,15,0
5/5/03,"Taiwan, China",16,0
4/28/03,"Taiwan, China",17,0
3/18/03,Viet Nam,17,0
5/9/03,"Taiwan, China",18,0
4/15/03,United States,19,0
3/17/03,Singapore,20,0
3/24/03,Singapore,21,0
4/18/03,United States,21,0
5/15/03,"Taiwan, China",26,0
4/7/03,United States,26,0
5/21/03,"Taiwan, China",35,0
5/29/03,"Taiwan, China",50,0
5/23/03,"Taiwan, China",55,0
3/26/03,Singapore,5,1
3/27/03,Singapore,4,1
4/1/03,Singapore,1,1
4/2/03,Singapore,3,1
4/4/03,Singapore,2,1
4/5/03,Singapore,1,1
4/9/03,Singapore,5,1
4/15/03,Singapore,4,1
4/18/03,Singapore,10,1
4/23/03,Singapore,3,1
4/29/03,Singapore,2,1
5/1/03,Singapore,0,1
5/5/03,Singapore,1,1
5/6/03,Singapore,0,1
5/12/03,Singapore,0,1
5/22/03,Singapore,0,1
6/26/03,Singapore,0,1
5/5/03,South Africa,0,1
4/30/03,"Taiwan, China",12,1
5/7/03,"Taiwan, China",9,1
6/19/03,"Taiwan, China",-2,1
3/29/03,Thailand,0,1
4/2/03,Thailand,1,1
3/17/03,Viet Nam,40,1
3/19/03,Viet Nam,-1,1
4/14/03,Viet Nam,1,1
4/8/03,Singapore,7,2
4/17/03,Singapore,5,2
4/24/03,Singapore,3,2
4/26/03,Singapore,3,2
4/28/03,Singapore,1,2
5/23/03,Singapore,0,2
5/1/03,"Taiwan, China",11,2
5/6/03,"Taiwan, China",0,2
5/8/03,"Taiwan, China",6,2
5/12/03,"Taiwan, China",12,2
6/16/03,"Taiwan, China",5,2
3/24/03,Viet Nam,-5,2
4/14/03,Singapore,11,3
5/13/03,"Taiwan, China",23,4
5/27/03,"Taiwan, China",11,4
5/2/03,"Taiwan, China",11,5
5/10/03,"Taiwan, China",23,5
5/16/03,"Taiwan, China",10,5
5/19/03,"Taiwan, China",70,5
5/28/03,"Taiwan, China",14,5
5/14/03,"Taiwan, China",31,6
5/22/03,"Taiwan, China",65,8
5/20/03,"Taiwan, China",39,12
5/26/03,"Taiwan, China",47,12
